datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
2/1/2001,20.9,6.1,13.7,20.9,4.5,13.3,3.7,54.8,0,0,0,,,,,25.9,304.1,1014.3,0,3.4,,,,,2001-02-01T07:09:26,2001-02-01T18:00:21,0.25,Clear,Clear conditions throughout the day.,clear-day,"4,218,209,999,942,180,000,000"
2/2/2001,20.3,6.1,13.7,20.3,4.1,13.3,3.5,53.4,0,0,0,,,,,27.7,290.9,1014.2,0,3,,,,,2001-02-02T07:08:53,2001-02-02T18:01:10,0.3,Clear,Clear conditions throughout the day.,clear-day,"4,218,209,999,942,180,000,000"
2/3/2001,22.1,5.1,13.3,22.1,4,13.1,3.6,55.5,0,0,0,,,,,23.8,289,1013,0,3,,,,,2001-02-03T07:08:18,2001-02-03T18:01:59,0.35,Clear,Clear conditions throughout the day.,clear-day,"4,218,209,999,942,180,000,000"
2/4/2001,22.4,5.1,13.8,22.4,5.1,13.8,5.5,61.6,0,0,0,,,,,11.2,295.9,1013,3,1.8,,,,,2001-02-04T07:07:41,2001-02-04T18:02:47,0.4,Clear,Clear conditions throughout the day.,clear-day,"4,218,209,999,942,180,000,000"
2/5/2001,23.1,6.7,15.2,23.1,6.7,15.2,6.7,61.3,0,0,0,,,,,13,303.5,1014,14.1,1.7,,,,,2001-02-05T07:07:04,2001-02-05T18:03:35,0.44,Clear,Clear conditions throughout the day.,clear-day,"4,218,209,999,942,180,000,000"
2/6/2001,24.1,6.1,14.9,24.1,6.1,14.8,5.9,59.6,0,0,0,,,,,22.3,283.8,1014.9,0,2.1,,,,,2001-02-06T07:06:25,2001-02-06T18:04:23,0.48,Clear,Clear conditions throughout the day.,clear-day,"4,218,209,999,942,180,000,000"
2/7/2001,24.1,7.1,15.2,24.1,6.3,15,5.7,57.7,0,0,0,,,,,22.3,280.6,1014.9,0,2.2,,,,,2001-02-07T07:05:45,2001-02-07T18:05:11,0.5,Clear,Clear conditions throughout the day.,clear-day,"4,218,209,999,942,180,000,000"
2/8/2001,25.1,8.1,16.4,25.1,7.4,16.3,6,54.2,0,0,0,,,,,37.1,287.4,1013.9,0,2.1,,,,,2001-02-08T07:05:03,2001-02-08T18:05:58,0.5,Clear,Clear conditions throughout the day.,clear-day,"4,218,209,999,942,180,000,000"
2/9/2001,25.1,8.1,16.9,25.1,7.4,16.8,4.4,46.9,0,0,0,,,,,52.8,300.7,1012.1,0,3,,,,,2001-02-09T07:04:20,2001-02-09T18:06:45,0.52,Clear,Clear conditions throughout the day.,wind,"4,218,209,999,942,180,000,000"
2/10/2001,25.1,8.7,17,25.1,8.7,17,5.9,52.5,0,0,0,,,,,18.4,301.1,1012.2,1.6,2.4,,,,,2001-02-10T07:03:36,2001-02-10T18:07:31,0.54,Clear,Clear conditions throughout the day.,clear-day,"4,218,209,999,942,180,000,000"
